Item,Price
Tub of Marsha's Buckeyes (50ct),24
Crunchy Spicy Salmon Roll,10
Mix Nigiri Sushi A,10
Salmoncado,8.25
Rainbow Roll,11.25
Fusion Special,11.25
Snack Sushi B,6.5
Crunchy California Roll,8
Spicy California Roll,8.25
California Roll,7.75
Tempura Shrimp Roll,9.25
Spicy Tuna Roll,8.75
Spicy Salmon Roll,8.25
Spicy Shrimp Roll,8
Crab Stick Philly Roll,8
Smoked Salmon Philly Roll,8
Salmon Philly Roll,8.75
Hawaiian Tuna Roll,10
Spicy Tempura Shrimp Roll,9.75
Mix Nigiri Sushi B,10
Mix Nigiri Sushi C,10
Mix Nigiri Sushi D,10
Vegetable Roll,6.5
The Summit,8.75
The Three C's,11
Teriyaki Chicken Bowl,9
Volvano Roll,10.5
Green Dragon Roll,9
Flying Tiger Roll,10
Firecracker Roll,11.25
Tiger Roll,10.75
Samurai Roll,9.5
Dynamite Tuuna Roll,10.25
Dynamite Salmon Roll,9.75
Sriracha Salmon Roll,8.5
Sriracha Tuna Roll,9.5
Spicy Inari,7
Snack Sushi A,6.5
Tuna Fantasy Roll,9.25
Salmon Fantasy Roll,8.75
Mango Tango Roll,9.5
Buckeye Roll,10
Sunset Roll,8.5
Spicy Tuna Bowl,10.5
Spicy Salmon Bowl,9.25
Tunacado,8.75
Vegetable Spring Roll,6.5
Spring Roll,7.5
BYO Rice Bowl,8
Chicken Teriyaki Rice Bowl,10
vegetarian Rice Bowl,8.25
Beef Bulgogi Rice Bowl,11
Spicy Pork Bulgogi Rice Bowl,11
Spicy Chicken Bulgogi Rice Bowl,10.5
Pork & Chicken Potsticker,4.75
Onigiri Spicy Salmon,3.75
Onigiri Spicy Tuna,3.75
Onigiri Chicken Teriyaki,3.75
Seaweed Salad,5.5
Banana Pudding Parfait,3.5
Whole Fruit,1
Marshmallow Treat,2
KIND bar,2.75
Chocolate Chunk Brownie,2.95
Chocolate Chunk Cookie,1.25
Grapes and Cheese,3.95
Fruit Medley,3.95
Premium Kettle Chips,2
Basic Chips,1.25
Premium Chips,1.5
Chobani Flip,2.75
Grape & Berry Cup,3.95
Hummus Bento Box,6.5
Sliced Apple Cup,3.95
Bottled Soda,2.35
Peace Tea,2.5
Body Armor,3.75
Powerade,3.5
Core Power,4.5
Vitamin Water,2.8
Milk,1.25
Minute Maid Juice,2.75
Soy Milk,1.8
Almond Milk,2
Disani,1.95
Smart Water,2.75
Dunkin Donuts Iced Coffee,3.75
Chobani Greek Yogurt Smoothie,3.25
